A0001,04,00354,魔獣が現れた！[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0002,05,00405,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0003,03,00425,宝箱には

A0003,06,00428,が入っている。\x01

A0003,07,00429,持ち物が一杯なので、

A0003,10,00432,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0004,05,00456,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0005,05,00496,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0006,03,00517,宝箱には

A0006,06,00520,が入っている。\x01

A0006,07,00521,持ち物が一杯なので、

A0006,10,00524,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0007,05,00550,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

