A0001,01,01185,魔獣が現れた！[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0002,01,0121C,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0003,01,0125E,宝箱には[1F F3 03][07 00]

A0003,02,0126B,が入っている。\x01

A0003,03,0127A,持ち物が一杯なので、[1F F3 03][07 00]

A0003,04,01293,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0004,01,012D3,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0005,01,0135C,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0006,01,013A0,宝箱には[1F 0B 02][07 00]

A0006,02,013AD,が入っている。\x01

A0006,03,013BC,持ち物が一杯なので、[1F 0B 02][07 00]

A0006,04,013D5,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0007,01,01420,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0008,01,014A9,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0009,01,014ED,宝箱には[1F F6 01][07 00]

A0009,02,014FA,が入っている。\x01

A0009,03,01509,持ち物が一杯なので、[1F F6 01][07 00]

A0009,04,01522,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0010,01,0156D,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0011,01,015F6,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0012,01,0163A,宝箱には[1F F9 01][07 00]

A0012,02,01647,が入っている。\x01

A0012,03,01656,持ち物が一杯なので、[1F F9 01][07 00]

A0012,04,0166F,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0013,01,016BA,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

