A0001,04,00312,魔獣が現れた！[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0002,05,00363,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0003,03,00383,宝箱には

A0003,06,00386,が入っている。\x01

A0003,07,00387,持ち物が一杯なので、

A0003,10,00390,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0004,05,00414,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0005,05,00453,を手に入れた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0006,03,00474,宝箱には

A0006,06,00477,が入っている。\x01

A0006,07,00478,持ち物が一杯なので、

A0006,10,00481,をあきらめた。\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

A0007,05,00507,宝箱には何も入っていない。[07 00]\x02

#-------------------------------------------------------------------#
#-------------------------------------------------------------------#

